t_sim,GT_State,EE_to_top_dist_m,ESDF_top,ESDF_center,ESDF_side,Weight_top,Weight_center,Weight_side,esdf_age_s,tsdf_age_s,logger_cycle_ms,ESDF_count_top,ESDF_count_center,ESDF_count_side,ESDF_dmin_top,ESDF_dmin_center,ESDF_dmin_side,TSDF_top_bx,TSDF_top_by,TSDF_top_bz,TSDF_top_vx,TSDF_top_vy,TSDF_top_vz,TSDF_center_bx,TSDF_center_by,TSDF_center_bz,TSDF_center_vx,TSDF_center_vy,TSDF_center_vz,TSDF_side_bx,TSDF_side_by,TSDF_side_bz,TSDF_side_vx,TSDF_side_vy,TSDF_side_vz,TSDF_top_vcx,TSDF_top_vcy,TSDF_top_vcz,TSDF_center_vcx,TSDF_center_vcy,TSDF_center_vcz,TSDF_side_vcx,TSDF_side_vcy,TSDF_side_vcz
1769789782.7270625,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,659.50048828125,1642.9456787109375,669.510009765625,0.034717925000000004,0.008667992000000001,0.3866100014420226,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
1769789782.8271444,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,659.50048828125,1642.9456787109375,669.510009765625,0.134799728,0.10874979500000001,0.45587999920826405,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
1769789782.927074,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,718.5048828125,1685.7410888671875,730.989501953125,0.234729395,0.009512551000000001,0.31915499857859686,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
1769789783.0271099,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,718.5048828125,1685.7410888671875,730.989501953125,0.334765195,0.109548351,0.41270899964729324,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
1769789783.1271098,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,777.50927734375,1728.5364990234375,843.2982177734375,0.43476518500000005,0.016728993,0.3475619996606838,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
1769789783.2270997,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,777.50927734375,1728.5364990234375,843.2982177734375,0.534755259,0.11671906700000001,0.3976760017394554,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
1769789783.327111,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,777.50927734375,1728.5364990234375,843.2982177734375,0.634766599,0.216730407,0.31342099828179926,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
1769789783.4270918,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,777.50927734375,1728.5364990234375,843.2982177734375,0.7347472820000001,0.31671109000000003,0.40616299884277396,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
1769789783.527076,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,895.51806640625,1814.1273193359375,1067.9156494140625,0.83473151,0.015712364,0.32778599779703654,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
1769789783.6271093,0,0.5423098802566528,0.030617881566286087,-0.10000000149011612,0.10000000149011612,895.51806640625,1814.1273193359375,1067.9156494140625,0.934764644,0.115745498,0.40778000038699247,8,4,6,0.08124034851789474,0.08660250157117844,0.08124037832021713,0,0,0,4,0,2,0,0,0,4,0,1,0,0,0,4,1,1,0.45000000670552254,0.05000000074505806,0.2500000037252903,0.45000000670552254,0.05000000074505806,0.15000000223517418,0.45000000670552254,0.15000000223517418,0.15000000223517418
